Rank,Song,Artist,Year,Lyrics,Source
1,wooly bully,sam the sham and the pharaohs,1965,sam the sham miscellaneous wooly bully wooly bully sam the sham  the pharaohs  domingo samudio uno dos one two tres quatro matty told hatty about a thing she saw had two big horns and a wooly jaw wooly bully wooly bully wooly bully wooly bully wooly bully hatty told matty lets dont take no chance lets not belseven come and learn to dance wooly bully wooly bully wooly bully wooly bully wooly bully matty told hatty thats the thing to do get you someone really to pull the wool with you wooly bully wooly bully wooly bully wooly bully wooly bully lseven  the letter l and the number 7 when typed they form a rough square l7 so the lyrics mean lets not be square,3
1,ballad of the green berets,ssgt barry sadler,1966,,
1,to sir with love,lulu,1967, those school girl days of telling tales and biting nails are gone but in my mind i know they will still live on and onbut how do you thank someone who has taken you from crayons to perfume it isnt easy but ill tryif you wanted the sky i would write across the sky in letters that would soar a thousand feet high to sir with lovethe time has come for closing books and long last looks must end and as i leave i know that i am leaving my best frienda friend who taught me right from wrong and weak from strong thats a lot to learn what can i give you in returnif you wanted the moon i would try to make a star but i would rather you let me give my heart to sir with love ,1
1,hey jude,the beatles,1968,hey jude dont make it bad take a sad song and make it better remember to let her into your heart then you can start to make it better hey jude dont be afraid you were made to go out and get her the minute you let her under your skin then you begin to make it better and anytime you feel the pain hey jude refrain dont carry the world upon your shoulders for well you know that its a fool who plays it cool by making his world a little colder na na na na na na na na na hey jude dont let me down you have found her now go and get her remember to let her into your heart then you can start to make it better so let it out and let it in hey jude begin youre waiting for someone to perform with and dont you know that its just you hey jude youll do the movement you need is on your shoulder na na na na na na na na na yeah hey jude dont make it bad take a sad song and make it better remember to let her under your skin then you begin to make it better better better better better better oh na na na nana na na nana na na hey jude na na na nana na na nana na na hey jude na na na nana na na nana na na hey jude na na na nana na na nana na na hey jude na na na nana na na nana na na hey jude na na na nana na na nana na na hey jude ̢,3
1,sugar sugar,the archies,1969, sugar honey honey you are my candy girl and you got me wanting you honey sugar sugar you are my candy girl and you got me wanting youi just cant believe the loveliness of loving you i just cant believe its true i just cant believe the wonder of this feeling too i just cant believe its truesugar honey honey you are my candy girl and you got me wanting you honey sugar sugar you are my candy girl and you got me wanting youwhen i kissed you girl i knew how sweet a kiss could be i know how sweet a kiss can be like the summer sunshine pour you sweetness over me pour your sweetness over meoh sugar pour your sugar on me honey pour your sugar on me baby im gonna make your life so sweet yeah yeah yeahpour your sugar on me oh yeah pour your sugar on me honey pour your sugar on me baby im gonna make your life so sweet yeah yeah yeah pour your sugar on me honeysugar honey honey you are my candy girl and you got me wanting you honey sugar sugar you are my candy girl ,1
1,bridge over troubled water,simon  garfunkel,1970,when youre weary feeling small when tears are in your eyes i will dry them all im on your side oh when times get rough and friends just cant be found like a bridge over troubled water i will lay me down like a bridge over troubled water i will lay me down when youre down and out when youre on the street when evening falls so hard i will comfort you ill take your part oh when darkness comes and pain is all around like a bridge over troubled water i will lay me down like a bridge over troubled water i will lay me down sail on silver girl sail on by your time has come to shine all your dreams are on their way see how they shine oh if you need a friend im sailing right behind like a bridge over troubled water i will ease your mind like a bridge over troubled water i will ease your mind,3
1,joy to the world,three dog night,1971, jeremiah was a bullfrog was a good friend of mine i never understood a single word he said but i helped him adrink his wine and he always had some mighty fine winesingin joy to the world all the boys and girls now joy to the fishes in the deep blue sea joy to you and meif i were the king of the world tell you what id do id throw away the cars and the bars and the war make sweet love to yousing it now joy to the world all the boys and girls joy to the fishes in the deep blue sea joy to you and meyou know i love the ladies love to have my fun im a high life flyer and a rainbow rider a straight shootin sonofagun i said a straight shootin sonofagunjoy to the world all the boys and girls joy to the fishes in the deep blue sea joy to you and mejoy to the world all the boys and girls joy to the world joy to you and mejoy to the world all the boys and girls joy to the fishes in the deep blue sea joy to you and mejoy to the world joy to you and me joy to the world all the boys and girls now joy to the fishes in the deep blue sea joy to you and mejoy to the world all the boys and girls joy to the fishes in the deep blue sea joy to you and mejoy to the world all the boys and girls ,1
1,the first time ever i saw your face,roberta flack,1972, the first time ever i saw your face i thought the sun rose in your eyes and the moon and the stars were the gifts you gave to the dark and the endless skies my love to the dark and the endless skiesthe first time ever i kissed your mouth i felt the earth move in my hand like the trembling heart of a captive bird that was there at my command my love that was there at my command my loveand the first time ever i lay with you i felt your heart so close to mine and i knew our joy would fill the earth and last till the end of time my love and it would last till the end of timethe first time ever i saw your face your face your face ,1
1,tie a yellow ribbon round the ole oak tree,tony orlando and dawn,1973,im comin home ive done my time now ive got to know what is and isnt mine if you received my letter telling you id soon be free then youll know just what to do if you still want me if you still want me whoa tie a yellow ribbon round the ole oak tree its been three long years do you still want me if i dont see a ribbon round the ole oak tree ill stay on the bus forget about us put the blame on me if i dont see a yellow ribbon round the ole oak tree bus driver please look for me cause i couldnt bear to see what i might see im really still in prison and my love she holds the key a simple yellow ribbons what i need to set me free and i wrote and told her please whoa tie a yellow ribbon round the ole oak tree its been three long years do you still want me if i dont see a ribbon round the ole oak tree ill stay on the bus forget about us put the blame on me if i dont see a yellow ribbon round the ole oak tree now the whole damned bus is cheerin and i cant believe i see a hundred yellow ribbons round the ole oak tree im comin home tie a ribbon round the ole oak tree tie a ribbon round the ole oak tree tie a ribbon round the ole oak tree tie a ribbon round the ole oak tree tie a ribbon round the ole oak tree tie a ribbon round the ole oak tree tie a ribbon round the ole oak tree tie a ribbon round the ole oak tree,3
1,the way we were,barbra streisand,1974, memories light the corners of my mind misty watercolored memories of the way we were scattered pictures of the smiles we left behind smiles we gave to one another for the way we werecan it be that it was all so simple then or has time rewritten every line and if we had the chance to do it all again just tell me tell me would we would we could we could wememories may be beautiful and yet so many memories too painful to remember the way we werecan it be that it was all so simple then or has time rewritten every line or has time rewritten and if we had the chance to do it all again tell me would we would we ah could we could we ,1
1,love will keep us together,captain  tennille,1975,love love will keep us together think of me babe whenever some sweet talkin girl comes along singin his song dont mess around you just got to be strong just stop cause i really love you stop ill be thinking of you look in my heart and let love keep us together you you belong to me now aint gonna set you free now when those girls start hanging around talking me down hear with your heart and you wont hear a sound just stop cause i really love you stop ill be thinkin of you look in my heart and let love keep us together whatever young and beautiful someday your looks will be gone when the others turn you off wholl be turnin you on i will i will i will i will be there to share forever love will keep us together i said it before and ill say it again while others pretend i need you now and i need you then just stop cause i really love you stop ill be thinking of you look in my heart and let love keep us together whatever i will i will i will i will you better stop cause i really love you stop ive been thinkin of you look in my heart and let love keep us together whatever i will i will i will i will,3
1,silly love songs,wings,1976, youd think that people would have had enough of silly love songs but i look around me and i see it isnt so some people wanna fill the world with silly love songs and whats wrong with thatid like to know cause here i go againi love you i love you i love you i love youi cant explain the feelings plain to me say cant you see whats wrong with thati need to know cause here i go againi love you i love youlove doesnt come in a minute sometimes it doesnt come at all i only know that when im in it it isnt silly no it isnt silly love isnt silly at allhow can i tell you about my loved one how can i tell you about my loved onei love you i love you i love you i love youi cant explain the feelings plain to me say cant you see ah she gave me more she gave it all to me say cant you seeyoud think that people would have had enough of silly love songs but i look around me and i see it isnt so oh no some people wanna fill the world with silly love songs and whats wrong with that ,1
1,tonights the night gonna be alright,rod stewart,1977, stay away from my window stay away from my back door too disconnect the telephone line relax baby and draw that blindkick off your shoes and sit right down loosen off that pretty french gown let me pour you a good long drink ooh baby dont you hesitate causetonights the night its gonna be alright cause i love you girl aint nobody gonna stop us nowcome on angel my hearts on fire dont deny your mans desire youd be a fool to stop this tide spread your wings and let me come inside causetonights the night its gonna be alright cause i love you girl aint nobody gonna stop us nowdont say a word my virgin child just let your inhibitions run wild the secret is about to unfold upstairs before the nights too oldtonights the night its gonna be alright cause i love you girl aint nobody gonna stop us nowooh ,1
